gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	confidence
aac(6')-Ie_fam	aac(6')	AMINOGLYCOSIDE	1	4.13223	1	0	0	LOW
aac(6')-Il	aac(6')	AMINOGLYCOSIDE	2	32.6797	1.98	0	0	MODERATE
aac(6')-Is	aac(6')	AMINOGLYCOSIDE	235	30.6122	2.02222	0	0	HIGH
aac(6')-It	aac(6')	AMINOGLYCOSIDE	406	51.7007	12.9868	0	0	HIGH
aac(6')-Iu	aac(6')	AMINOGLYCOSIDE	2	16.3265	1	0	0	MODERATE
aac(6')-Iv	aac(6')	AMINOGLYCOSIDE	1	22.449	1	0	0	MODERATE
aac(6')-set_A	aac(6')	AMINOGLYCOSIDE	1	10.8108	1	0	0	MODERATE
aac(6')_E111	aac(6')_E111	AMINOGLYCOSIDE	98	13.1034	56.6316	0	0	MODERATE
aac(6')_E141	aac(6')_E141	AMINOGLYCOSIDE	2	0	0	0	0	LOW
aac(6')_E550	aac(6')_E550	AMINOGLYCOSIDE	336	90.3448	79.458	0	0	HIGH
aac(6')_E553	aac(6')_E553	AMINOGLYCOSIDE	239	0	0	0	0	LOW
aac(6')_E606	aac(6')_E606	AMINOGLYCOSIDE	3	16.2162	1	0	0	MODERATE
aac(6')_E963	aac(6')_E963	AMINOGLYCOSIDE	2	31.8182	1.93878	0	0	MODERATE
aac(6')_Entco	aac(6')_Entco	AMINOGLYCOSIDE	67	0	0	0	0	LOW
aac(6')_Serra	aac(6')_Serra	AMINOGLYCOSIDE	98	14.2857	60.5714	0	0	MODERATE
aac(6')_Strep	aac(6')_Strep	AMINOGLYCOSIDE	8	36.1446	1	0	0	MODERATE
aac(6')_Yersi	aac(6')_Yersi	AMINOGLYCOSIDE	6	0	0	0	0	LOW
aacA-ACI4	aacA	AMINOGLYCOSIDE	316	40.411	80.1356	0	0	HIGH
aacA-ACI5	aacA	AMINOGLYCOSIDE	28	0	0	0	0	LOW
aacA-ACI6	aacA	AMINOGLYCOSIDE	1	0	0	0	0	LOW
aacA-ENT1	aacA	AMINOGLYCOSIDE	10	32.7869	1	0	0	MODERATE
aacA-ENT2	aacA	AMINOGLYCOSIDE	607	62.2951	32.7105	0	0	HIGH
aacA-STR-13	aacA	AMINOGLYCOSIDE	33	21.118	26.7059	0	0	HIGH
aacA-STR-7	aacA	AMINOGLYCOSIDE	19	39.2405	3.67742	0	0	HIGH
aacA34	aacA34	AMINOGLYCOSIDE	1	17.6871	1	0	0	MODERATE
aacA37	aacA37	AMINOGLYCOSIDE	548	73.1343	9.22449	0	0	HIGH
aacA43	aacA43	AMINOGLYCOSIDE	2	0	0	0	0	LOW
aacA47	aacA47	AMINOGLYCOSIDE	81	0	0	0	0	LOW
ant(2'')-Ia	ant(2'')	AMINOGLYCOSIDE	458	0	0	0	0	LOW
ant(3'')-IIa	ant(3'')	AMINOGLYCOSIDE	1	7.60456	1	0	0	LOW
ant(3'')-IIc	ant(3'')	AMINOGLYCOSIDE	4	9.12548	1	0	0	LOW
ant(3'')-Ia	ant(3'')	AMINOGLYCOSIDE	2	14.1221	1.59459	0	0	MODERATE
ant(6)-Ia	ant(6)	AMINOGLYCOSIDE	8	0	0	0	0	LOW
aph(2'')-IIa	aph(2'')	AMINOGLYCOSIDE	1	10.3333	1	0	0	MODERATE
aph(2'')-IVa	aph(2'')	AMINOGLYCOSIDE	301	0	0	0	0	LOW
aph(2'')-Ia	aph(2'')	AMINOGLYCOSIDE	23	11.4583	12.7636	0	0	MODERATE
aph(2'')-If	aph(2'')	AMINOGLYCOSIDE	11	12.7946	7.81579	0	0	MODERATE
aph(2'')-Ig	aph(2'')	AMINOGLYCOSIDE	2	0	0	0	0	LOW
aph(2'')-Ii	aph(2'')	AMINOGLYCOSIDE	6	32.5503	2.27835	0	0	HIGH
aph(3'')-Ia	aph(3'')	AMINOGLYCOSIDE	2	13.5531	1.59459	0	0	MODERATE
aph(3'')-Ib	aph(3'')	AMINOGLYCOSIDE	1	0	0	0	0	LOW
aph(3'')-Ic	aph(3'')	AMINOGLYCOSIDE	128	41.1765	43.0762	0	0	HIGH
aph(3')-IIIa	aph(3')	AMINOGLYCOSIDE	31	9.0566	4	0	0	LOW
aph(3')-Ia	aph(3')	AMINOGLYCOSIDE	639	0	0	0	0	LOW
aph(3')-VIIIb	aph(3')	AMINOGLYCOSIDE	1	11.9231	1	0	0	MODERATE
aph(3')-Va	aph(3')	AMINOGLYCOSIDE	5	0	0	0	0	LOW
aph(3')-Vb	aph(3')	AMINOGLYCOSIDE	4	0	0	0	0	LOW
aph(3')-Vc	aph(3')	AMINOGLYCOSIDE	4	18.4906	3.87755	0	0	MODERATE
aph(3')-XV	aph(3')	AMINOGLYCOSIDE	45	33.2075	15.0114	0	0	MODERATE
aph(6)-Ic	aph(6)	AMINOGLYCOSIDE	3	13.1673	2.83784	0	0	MODERATE
aph(6)-Smalt	aph(6)	AMINOGLYCOSIDE	1	8.11808	1	0	0	LOW
blaCMY-81	blaCMY	BETA_LACTAM	1	0	0	0	0	LOW
blaCMY-85	blaCMY	BETA_LACTAM	147	30.8901	6.9322	0	0	HIGH
blaCMY-87	blaCMY	BETA_LACTAM	6	0	0	0	0	LOW
blaCMY-90	blaCMY	BETA_LACTAM	32	17.2775	3.27273	0	0	MODERATE
blaCTX-M-102	blaCTX	BETA_LACTAM	3	0	0	0	0	LOW
blaCTX-M-112	blaCTX	BETA_LACTAM	138	48.2877	32.6738	0	0	HIGH
blaCTX-M-113	blaCTX	BETA_LACTAM	25	26.0274	5.48684	0	0	HIGH
blaCTX-M-124	blaCTX	BETA_LACTAM	4	7.19178	3.85714	0	0	LOW
blaCTX-M-126	blaCTX	BETA_LACTAM	1	7.53425	1	0	0	LOW
blaCTX-M-147	blaCTX	BETA_LACTAM	723	71.9178	41.6476	0	0	HIGH
blaCTX-M-151	blaCTX	BETA_LACTAM	8	10.4918	6.25	0	0	MODERATE
blaCTX-M-161	blaCTX	BETA_LACTAM	80	48.6301	22.9296	0	0	HIGH
blaCTX-M-173	blaCTX	BETA_LACTAM	15	8.21918	7.95833	0	0	LOW
blaCTX-M-175	blaCTX	BETA_LACTAM	3	0	0	0	0	LOW
blaCTX-M-176	blaCTX	BETA_LACTAM	293	29.4521	3.17442	0	0	HIGH
blaCTX-M-177	blaCTX	BETA_LACTAM	35	0	0	0	0	LOW
blaCTX-M-41	blaCTX	BETA_LACTAM	6	28.7671	2.95238	0	0	HIGH
blaCTX-M-43	blaCTX	BETA_LACTAM	1	7.87671	1	0	0	LOW
blaCTX-M-46	blaCTX	BETA_LACTAM	36	16.4384	19.75	0	0	MODERATE
blaCTX-M-48	blaCTX	BETA_LACTAM	1	6.84932	1	0	0	LOW
blaCTX-M-52	blaCTX	BETA_LACTAM	5	33.5616	1.85714	0	0	MODERATE
blaCTX-M-54	blaCTX	BETA_LACTAM	1	10.6164	1	0	0	MODERATE
blaCTX-M-68	blaCTX	BETA_LACTAM	3	0	0	0	0	LOW
blaCTX-M-69	blaCTX	BETA_LACTAM	5	0	0	0	0	LOW
blaCTX-M-84	blaCTX	BETA_LACTAM	23	22.2603	6.89231	0	0	HIGH
blaCTX-M-85	blaCTX	BETA_LACTAM	8	10.9589	1.84375	0	0	MODERATE
blaCTX-M-88	blaCTX	BETA_LACTAM	19	14.3836	1	0	0	MODERATE
blaCTX-M-90	blaCTX	BETA_LACTAM	347	74.3151	60.6498	0	0	HIGH
blaCTX-M-91	blaCTX	BETA_LACTAM	599	26.3699	4.16883	0	0	HIGH
blaDHA-10	blaDHA	BETA_LACTAM	1	0	0	0	0	LOW
blaDHA-24	blaDHA	BETA_LACTAM	55	0	0	0	0	LOW
blaEC-18	blaEC	BETA_LACTAM	25	25.9259	6.47959	0	0	HIGH
blaESP-1	blaESP	BETA_LACTAM	9	25.7732	3.78667	0	0	HIGH
blaFOX-13	blaFOX	BETA_LACTAM	8	44.9086	1.52907	0	0	MODERATE
blaGES-23	blaGES	BETA_LACTAM	5	6.94444	5	0	0	LOW
blaGES-25	blaGES	BETA_LACTAM	94	34.375	31.6768	0	0	HIGH
blaGES-8	blaGES	BETA_LACTAM	1	6.94444	1	0	0	LOW
blaGIM-2	blaGIM	BETA_LACTAM	512	38.247	107.667	0	0	HIGH
blaGOB-11	blaGOB	BETA_LACTAM	9	24.2321	3.49296	0	0	HIGH
