gene_id	gene_name	total_reads	total_bases	covered_positions	gene_length	percent_coverage	mean_depth	RPKM	TPM
267	aph(2'')-Ia	30	2116	55	480	11.46	12.82	2.04	1477.06
277	aph(3')-Ia	199	66746	210	272	77.21	105.95	23.87	17290.35
283	aac(6')-It	255	47170	330	147	224.49	47.65	56.61	40996.08
285	ant(2'')-Ia	303	53562	295	178	165.73	60.52	55.55	40229.27
288	aac(6')-35	199	27443	297	180	165.00	30.80	36.08	26127.63
292	ant(3'')-IIc	4	390	97	263	36.88	1.34	0.50	359.44
293	aacA-ACI5	4	540	58	147	39.46	3.10	0.89	643.08
301	aac(3)-XI	2	545	106	149	71.14	1.71	0.44	317.22
302	aac(6')-31	4	860	121	185	65.41	2.37	0.71	510.98
303	aac(6')-Ib-cr4	1	60	31	185	16.76	0.65	0.18	127.75
304	aac(6')_Strep	8	2811	48	166	28.92	19.52	1.57	1138.94
307	aac(6')_E111	41	8210	46	145	31.72	59.49	9.23	6682.44
309	aacA-ACI4	183	33312	278	146	190.41	39.94	40.90	29622.23
316	aac(6')-Ib-G	184	33687	127	185	68.65	88.42	32.46	23505.29
320	aacA-STR-7	20	1795	124	158	78.48	4.83	4.13	2991.52
365	aph(2'')-IVa	25	33556	122	302	40.40	91.68	2.70	1956.38
366	aac(2')-Ib	5	764	125	196	63.78	2.04	0.83	602.88
371	aac(6')_Yersi	4	641	89	147	60.54	2.40	0.89	643.08
379	aac(6')_Serra	10	3567	49	147	33.33	24.27	2.22	1607.69
387	aph(2'')-Ig	2	204	35	307	11.40	1.94	0.21	153.96
388	aac(6')-Ib-D181Y	2	159	33	185	17.84	1.61	0.35	255.49
393	aac(3)-IVb	8	2112	162	266	60.90	4.35	0.98	710.77
396	aac(6')_Serra	10	3024	243	147	165.31	4.15	2.22	1607.69
400	aac(6')-Iae	1	60	20	184	10.87	1.00	0.18	128.44
407	aac(6')-Ie_fam	1	60	20	484	4.13	1.00	0.07	48.83
415	aac(6')_Serra	4	324	27	147	18.37	4.00	0.89	643.08
416	aac(6')_Serra	3	345	105	147	71.43	1.10	0.67	482.31
419	aacA-ENT1	4	890	198	183	108.20	1.50	0.71	516.57
420	aac(6')_Strep	3	711	172	166	103.61	1.38	0.59	427.10
424	aac(6')-Iu	1	271	62	147	42.18	1.46	0.22	160.77
425	aacA-ACI6	1	63	21	147	14.29	1.00	0.22	160.77
432	aac(3)-Id	1	92	31	159	19.50	0.99	0.21	148.64
440	aacA47	97	8018	194	185	104.86	13.78	17.11	12391.38
441	aac(6')_E550	320	33645	187	145	128.97	59.97	72.01	52155.66
443	aac(6')-Iag	4	921	94	168	55.95	3.27	0.78	562.69
444	aac(6')-Ib-G	16	2313	77	185	41.62	10.01	2.82	2043.94
445	aac(6')-Ib-AKT	2	879	72	185	38.92	4.07	0.35	255.49
446	aac(6')-Iaa	6	1542	146	146	100.00	3.52	1.34	971.22
453	aacA-ACI5	36	3468	61	147	41.50	18.95	7.99	5787.68
467	aac(6')_Serra	40	8176	46	147	31.29	59.25	8.88	6430.76
483	aac(6')-Ia	1461	306678	94	186	50.54	1087.51	256.32	185633.67
492	aac(6')-Ib-cr11	3	180	20	185	10.81	3.00	0.53	383.24
503	blaESP-1	4	852	75	291	25.77	3.79	0.45	324.85
504	blaCTX-M-113	6	2428	125	292	42.81	6.47	0.67	485.61
506	blaFOX-13	8	789	172	383	44.91	1.53	0.68	493.64
511	blaGIM-2	248	44255	184	251	73.31	80.17	32.24	23350.57
512	blaCMY-87	6	708	89	382	23.30	2.65	0.51	371.20
517	blaCMY-81	1	63	21	382	5.50	1.00	0.09	61.87
518	blaCTX-M-46	1	3132	81	292	27.74	12.89	0.11	80.94
523	blaCTX-M-102	3	237	33	292	11.30	2.39	0.34	242.81
528	blaGOB-11	12	804	91	293	31.06	2.95	1.34	967.91
530	blaCTX-M-48	1	60	20	292	6.85	1.00	0.11	80.94
533	blaGES-8	1	60	20	288	6.94	1.00	0.11	82.06
539	blaGES-23	5	300	20	288	6.94	5.00	0.57	410.30
540	blaCTX-M-41	4	744	84	292	28.77	2.95	0.45	323.74
541	blaGES-25	71	9378	99	288	34.38	31.58	8.04	5826.20
542	blaCMY-90	14	3222	124	382	32.46	8.66	1.20	866.13
570	blaCTX-M-43	2	69	23	292	7.88	1.00	0.22	161.87
571	blaCMY-85	25	16632	414	382	108.38	13.39	2.14	1546.66
580	blaCTX-M-173	3	1423	108	292	36.99	4.39	0.34	242.81
591	blaCTX-M-151	10	600	32	305	10.49	6.25	1.07	774.85
593	blaCTX-M-147	925	84535	532	292	182.19	52.97	103.37	74864.92
599	blaCTX-M-84	13	2469	183	292	62.67	4.50	1.45	1052.16
603	blaCTX-M-175	1	237	33	292	11.30	2.39	0.11	80.94
605	blaCTX-M-88	19	1740	141	292	48.29	4.11	2.12	1537.77
613	blaCTX-M-68	3	237	33	292	11.30	2.39	0.34	242.81
615	blaCTX-M-69	5	300	20	292	6.85	5.00	0.56	404.68
622	blaCTX-M-90	414	39459	217	292	74.32	60.61	46.27	33507.11
623	blaCTX-M-161	117	9763	142	292	48.63	22.92	13.08	9469.40
630	blaCTX-M-52	4	546	98	292	33.56	1.86	0.45	323.74
637	blaCTX-M-126	1	66	22	292	7.53	1.00	0.11	80.94
640	blaCTX-M-124	4	243	21	292	7.19	3.86	0.45	323.74
642	blaDHA-24	35	5192	50	380	13.16	34.61	3.01	2176.73
658	blaCTX-M-112	127	13848	162	292	55.48	28.49	14.19	10278.75
662	blaDHA-10	1	114	38	380	10.00	1.00	0.09	62.19
664	blaCTX-M-91	340	66816	375	292	128.42	59.39	38.00	27517.92
665	blaCTX-M-176	160	30864	323	292	110.62	31.85	17.88	12949.61
666	blaCTX-M-177	12	2622	132	292	45.21	6.62	1.34	971.22
