gene_name	drug_class	read_count	rpkm	tpm	coverage_depth	coverage_breadth
aph(3')-Ia	AMINOGLYCOSIDE	1	0.12	133.42	0.00	17.65
aph(6)-Smalt	AMINOGLYCOSIDE	1	0.12	133.91	0.00	8.12
aac(6')_E606	AMINOGLYCOSIDE	1	0.22	245.20	0.01	23.65
aac(6')-F72	AMINOGLYCOSIDE	1	0.18	197.23	0.01	25.00
aac(6')-IIc	AMINOGLYCOSIDE	6	1.01	1122.37	0.03	13.40
aac(6')-Ib-G	AMINOGLYCOSIDE	12	2.12	2353.94	0.06	23.78
aac(6')_Entco	AMINOGLYCOSIDE	45	8.02	8923.76	0.25	26.23
aac(6')_E553	AMINOGLYCOSIDE	110	24.09	26791.25	0.74	33.56
aacA-ENT2	AMINOGLYCOSIDE	190	33.88	37678.11	1.04	27.32
aac(6')-Ib'	AMINOGLYCOSIDE	36	2.80	3110.57	0.09	11.90
aph(2'')-Ia	AMINOGLYCOSIDE	20	1.36	1512.08	0.04	10.42
aph(3')-Ia	AMINOGLYCOSIDE	131	15.72	17477.89	0.48	18.38
aac(6')-It	AMINOGLYCOSIDE	175	38.85	43202.34	1.19	34.01
ant(2'')-Ia	AMINOGLYCOSIDE	217	39.78	44241.14	1.22	28.09
aac(6')-35	AMINOGLYCOSIDE	135	24.47	27217.47	0.75	27.78
aacA-ACI5	AMINOGLYCOSIDE	4	0.89	987.48	0.03	33.33
aac(3)-XI	AMINOGLYCOSIDE	3	0.66	730.67	0.02	25.50
aac(6')-31	AMINOGLYCOSIDE	4	0.71	784.65	0.02	23.78
aac(6')_Strep	AMINOGLYCOSIDE	7	1.38	1530.30	0.04	28.92
aac(6')_E111	AMINOGLYCOSIDE	23	5.18	5756.34	0.16	29.66
aacA-ACI4	AMINOGLYCOSIDE	123	27.49	30573.05	0.84	34.25
aac(6')-Ib-G	AMINOGLYCOSIDE	130	22.93	25501.06	0.70	27.03
aacA-STR-7	AMINOGLYCOSIDE	14	2.89	3215.57	0.09	27.85
aac(2')-Ib	AMINOGLYCOSIDE	6	1.00	1110.92	0.03	25.51
aac(6')_Yersi	AMINOGLYCOSIDE	4	0.89	987.48	0.03	29.93
aac(6')_Serra	AMINOGLYCOSIDE	9	2.00	2221.83	0.06	31.97
aph(2'')-Ig	AMINOGLYCOSIDE	2	0.21	236.42	0.01	11.40
aac(6')-Ib-D181Y	AMINOGLYCOSIDE	1	0.18	196.16	0.01	17.84
aac(3)-IVb	AMINOGLYCOSIDE	8	0.98	1091.43	0.03	18.42
aac(6')_Serra	AMINOGLYCOSIDE	9	2.00	2221.83	0.06	34.01
aac(6')-Iae	AMINOGLYCOSIDE	1	0.18	197.23	0.01	10.87
aac(6')-Ie_fam	AMINOGLYCOSIDE	1	0.07	74.98	0.00	4.13
aac(6')_Serra	AMINOGLYCOSIDE	4	0.89	987.48	0.03	18.37
aac(6')_Serra	AMINOGLYCOSIDE	2	0.44	493.74	0.01	25.85
aacA-ENT1	AMINOGLYCOSIDE	6	1.07	1189.83	0.03	25.68
aac(6')_Strep	AMINOGLYCOSIDE	1	0.20	218.61	0.01	28.31
aac(6')-Iu	AMINOGLYCOSIDE	1	0.22	246.87	0.01	25.85
aacA-ACI6	AMINOGLYCOSIDE	1	0.22	246.87	0.01	14.29
aac(3)-Id	AMINOGLYCOSIDE	1	0.21	228.24	0.01	19.50
aacA47	AMINOGLYCOSIDE	62	10.94	12162.04	0.34	27.03
aac(6')_E550	AMINOGLYCOSIDE	208	46.81	52057.33	1.43	34.48
aac(6')-Iag	AMINOGLYCOSIDE	3	0.58	648.04	0.02	29.17
aac(6')-Ib-G	AMINOGLYCOSIDE	11	1.94	2157.78	0.06	22.70
aac(6')-Ib-AKT	AMINOGLYCOSIDE	2	0.35	392.32	0.01	23.78
aac(6')-Iaa	AMINOGLYCOSIDE	6	1.34	1491.37	0.04	34.25
aacA-ACI5	AMINOGLYCOSIDE	26	5.77	6418.63	0.18	34.01
aac(6')_Serra	AMINOGLYCOSIDE	22	4.88	5431.15	0.15	29.25
aac(6')-Ia	AMINOGLYCOSIDE	747	131.05	145745.19	4.02	26.88
aac(6')-Ib-cr11	AMINOGLYCOSIDE	3	0.53	588.49	0.02	10.81
blaESP-1	BETA_LACTAM	3	0.34	374.12	0.01	14.78
blaCTX-M-113	BETA_LACTAM	1	0.11	124.28	0.00	15.07
blaFOX-13	BETA_LACTAM	8	0.68	758.02	0.02	12.27
blaGIM-2	BETA_LACTAM	143	18.59	20675.16	0.57	17.53
blaCMY-87	BETA_LACTAM	6	0.51	570.00	0.02	11.52
blaCMY-81	BETA_LACTAM	1	0.09	95.00	0.00	5.50
blaCTX-M-46	BETA_LACTAM	1	0.11	124.28	0.00	16.44
blaCTX-M-102	BETA_LACTAM	3	0.34	372.84	0.01	11.30
blaGOB-11	BETA_LACTAM	4	0.45	495.43	0.01	13.65
blaCTX-M-48	BETA_LACTAM	1	0.11	124.28	0.00	6.85
blaGES-8	BETA_LACTAM	1	0.11	126.01	0.00	6.94
blaGES-23	BETA_LACTAM	5	0.57	630.03	0.02	6.94
blaCTX-M-41	BETA_LACTAM	4	0.45	497.12	0.01	16.44
blaGES-25	BETA_LACTAM	38	4.31	4788.26	0.13	17.36
blaCMY-90	BETA_LACTAM	9	0.77	855.00	0.02	11.52
blaCTX-M-43	BETA_LACTAM	1	0.11	124.28	0.00	7.88
blaCMY-85	BETA_LACTAM	18	1.54	1710.00	0.05	13.09
blaCTX-M-173	BETA_LACTAM	3	0.34	372.84	0.01	17.12
blaCTX-M-151	BETA_LACTAM	7	0.75	832.88	0.02	10.49
blaCTX-M-147	BETA_LACTAM	641	71.63	79663.94	2.20	17.12
blaCTX-M-84	BETA_LACTAM	7	0.78	869.96	0.02	17.12
blaCTX-M-88	BETA_LACTAM	19	2.12	2361.33	0.07	17.12
blaCTX-M-68	BETA_LACTAM	3	0.34	372.84	0.01	11.30
blaCTX-M-69	BETA_LACTAM	5	0.56	621.40	0.02	6.85
blaCTX-M-90	BETA_LACTAM	305	34.08	37905.62	1.04	17.12
blaCTX-M-161	BETA_LACTAM	74	8.27	9196.77	0.25	17.12
blaCTX-M-52	BETA_LACTAM	4	0.45	497.12	0.01	16.78
blaCTX-M-126	BETA_LACTAM	1	0.11	124.28	0.00	7.53
blaCTX-M-124	BETA_LACTAM	4	0.45	497.12	0.01	7.19
blaDHA-24	BETA_LACTAM	30	2.58	2865.00	0.08	12.63
blaCTX-M-112	BETA_LACTAM	83	9.28	10315.30	0.28	17.12
blaDHA-10	BETA_LACTAM	1	0.09	95.50	0.00	10.00
blaCTX-M-91	BETA_LACTAM	241	26.93	29951.65	0.83	17.12
blaCTX-M-176	BETA_LACTAM	108	12.07	13422.32	0.37	17.12
blaCTX-M-177	BETA_LACTAM	7	0.78	869.96	0.02	15.41
