gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	confidence
aac(6')_E963	aac(6')_E963	AMINOGLYCOSIDE	2	31.8182	0.012987	471.298	0.423788	LOW
aac(6')_Entco	aac(6')_Entco	AMINOGLYCOSIDE	45	26.2295	0.245902	8923.76	8.02418	LOW
aac(6')_Serra	aac(6')_Serra	AMINOGLYCOSIDE	22	29.2517	0.14966	5431.15	4.88365	LOW
aac(6')_Strep	aac(6')_Strep	AMINOGLYCOSIDE	1	28.3133	0.0060241	218.614	0.196576	LOW
aac(6')_Yersi	aac(6')_Yersi	AMINOGLYCOSIDE	4	29.932	0.0272109	987.482	0.887937	LOW
aacA-ACI4	aacA	AMINOGLYCOSIDE	123	34.2466	0.842466	30573.1	27.4911	LOW
aacA-ACI5	aacA	AMINOGLYCOSIDE	26	34.0136	0.176871	6418.63	5.77159	LOW
aacA-ACI6	aacA	AMINOGLYCOSIDE	1	14.2857	0.00680272	246.871	0.221984	LOW
aacA-ENT1	aacA	AMINOGLYCOSIDE	6	25.6831	0.0327869	1189.83	1.06989	LOW
aacA-ENT2	aacA	AMINOGLYCOSIDE	190	27.3224	1.03825	37678.1	33.8799	MODERATE
aacA-STR-7	aacA	AMINOGLYCOSIDE	14	27.8481	0.0886076	3215.57	2.89142	LOW
aacA34	aacA34	AMINOGLYCOSIDE	1	17.6871	0.00680272	246.871	0.221984	LOW
aacA37	aacA37	AMINOGLYCOSIDE	199	37.3134	1.48507	53893.3	48.4605	MODERATE
aacA43	aacA43	AMINOGLYCOSIDE	2	11.1702	0.0106383	386.063	0.347146	LOW
aacA47	aacA47	AMINOGLYCOSIDE	62	27.027	0.335135	12162	10.936	LOW
ant(2'')-Ia	ant(2'')	AMINOGLYCOSIDE	217	28.0899	1.2191	44241.1	39.7813	MODERATE
ant(3'')-IIa	ant(3'')	AMINOGLYCOSIDE	1	18.6312	0.00380228	137.985	0.124075	LOW
ant(3'')-Ia	ant(3'')	AMINOGLYCOSIDE	1	11.0687	0.00381679	138.511	0.124548	LOW
aph(2'')-Ia	aph(2'')	AMINOGLYCOSIDE	20	10.4167	0.0416667	1512.08	1.35965	LOW
aph(2'')-Ig	aph(2'')	AMINOGLYCOSIDE	2	11.4007	0.00651466	236.417	0.212584	LOW
aph(3'')-Ia	aph(3'')	AMINOGLYCOSIDE	1	13.1868	0.003663	132.93	0.11953	LOW
aph(3'')-Ib	aph(3'')	AMINOGLYCOSIDE	1	7.46269	0.00373134	135.41	0.12176	LOW
aph(3'')-Ic	aph(3'')	AMINOGLYCOSIDE	91	19.6078	0.356863	12950.5	11.645	LOW
aph(3')-IIIa	aph(3')	AMINOGLYCOSIDE	11	15.0943	0.0415094	1506.38	1.35452	LOW
aph(3')-Ia	aph(3')	AMINOGLYCOSIDE	131	18.3824	0.481618	17477.9	15.716	LOW
aph(3')-Va	aph(3')	AMINOGLYCOSIDE	2	14.4981	0.00743494	269.814	0.242615	LOW
aph(3')-XV	aph(3')	AMINOGLYCOSIDE	14	16.9811	0.0528302	1917.21	1.72394	LOW
aph(6)-Smalt	aph(6)	AMINOGLYCOSIDE	1	8.11808	0.00369004	133.911	0.120412	LOW
blaCMY-81	blaCMY	BETA_LACTAM	1	5.49738	0.0026178	94.9999	0.0854233	LOW
blaCMY-85	blaCMY	BETA_LACTAM	18	13.089	0.0471204	1710	1.53762	LOW
blaCMY-87	blaCMY	BETA_LACTAM	6	11.5183	0.0157068	570	0.51254	LOW
blaCMY-90	blaCMY	BETA_LACTAM	9	11.5183	0.0235602	854.999	0.768809	LOW
blaCTX-M-102	blaCTX	BETA_LACTAM	3	11.3014	0.010274	372.842	0.335257	LOW
blaCTX-M-112	blaCTX	BETA_LACTAM	83	17.1233	0.284247	10315.3	9.27544	LOW
blaCTX-M-113	blaCTX	BETA_LACTAM	1	15.0685	0.00342466	124.281	0.111752	LOW
blaCTX-M-124	blaCTX	BETA_LACTAM	4	7.19178	0.0136986	497.123	0.447009	LOW
blaCTX-M-126	blaCTX	BETA_LACTAM	1	7.53425	0.00342466	124.281	0.111752	LOW
blaCTX-M-147	blaCTX	BETA_LACTAM	641	17.1233	2.19521	79663.9	71.6332	HIGH
blaCTX-M-151	blaCTX	BETA_LACTAM	7	10.4918	0.0229508	832.885	0.748924	LOW
blaCTX-M-161	blaCTX	BETA_LACTAM	74	17.1233	0.253425	9196.77	8.26967	LOW
blaCTX-M-173	blaCTX	BETA_LACTAM	3	17.1233	0.010274	372.842	0.335257	LOW
blaCTX-M-176	blaCTX	BETA_LACTAM	108	17.1233	0.369863	13422.3	12.0693	LOW
blaCTX-M-177	blaCTX	BETA_LACTAM	7	15.411	0.0239726	869.965	0.782266	LOW
blaCTX-M-41	blaCTX	BETA_LACTAM	4	16.4384	0.0136986	497.123	0.447009	LOW
blaCTX-M-43	blaCTX	BETA_LACTAM	1	7.87671	0.00342466	124.281	0.111752	LOW
blaCTX-M-46	blaCTX	BETA_LACTAM	1	16.4384	0.00342466	124.281	0.111752	LOW
blaCTX-M-48	blaCTX	BETA_LACTAM	1	6.84932	0.00342466	124.281	0.111752	LOW
blaCTX-M-52	blaCTX	BETA_LACTAM	4	16.7808	0.0136986	497.123	0.447009	LOW
blaCTX-M-68	blaCTX	BETA_LACTAM	3	11.3014	0.010274	372.842	0.335257	LOW
blaCTX-M-69	blaCTX	BETA_LACTAM	5	6.84932	0.0171233	621.404	0.558762	LOW
blaCTX-M-84	blaCTX	BETA_LACTAM	7	17.1233	0.0239726	869.965	0.782266	LOW
blaCTX-M-88	blaCTX	BETA_LACTAM	19	17.1233	0.0650685	2361.33	2.12329	LOW
blaCTX-M-90	blaCTX	BETA_LACTAM	305	17.1233	1.04452	37905.6	34.0845	MODERATE
blaCTX-M-91	blaCTX	BETA_LACTAM	241	17.1233	0.825342	29951.7	26.9323	LOW
blaDHA-10	blaDHA	BETA_LACTAM	1	10	0.00263158	95.4999	0.0858729	LOW
blaDHA-24	blaDHA	BETA_LACTAM	30	12.6316	0.0789474	2865	2.57619	LOW
blaESP-1	blaESP	BETA_LACTAM	3	14.7766	0.0103093	374.123	0.336409	LOW
blaFOX-13	blaFOX	BETA_LACTAM	8	12.2715	0.0208877	758.015	0.681602	LOW
blaGES-23	blaGES	BETA_LACTAM	5	6.94444	0.0173611	630.034	0.566522	LOW
blaGES-25	blaGES	BETA_LACTAM	38	17.3611	0.131944	4788.26	4.30557	LOW
blaGES-8	blaGES	BETA_LACTAM	1	6.94444	0.00347222	126.007	0.113304	LOW
blaGIM-2	blaGIM	BETA_LACTAM	143	17.5299	0.569721	20675.2	18.591	LOW
blaGOB-11	blaGOB	BETA_LACTAM	4	13.6519	0.0136519	495.426	0.445484	LOW
